取引先CD,取引先名1,営業担当者CD,営業担当者名,集計項目CD,集計項目名
000549,株式会社ｺﾐﾕｽﾞ,000007,小林,000003,C（解体）
000550,株式会社大漁,000007,小林,000002,B（残置）
000551,便利屋ｻﾎﾟｰﾄ,000007,小林,000002,B（残置）
000552,株式会社T&Kﾌﾟﾗﾝﾆﾝｸﾞ,000007,小林,000002,B（残置）
000553,株式会社ﾗｸｴｺ,000007,小林,000002,B（残置）
000554,株式会社UNIVRS,000007,小林,000002,B（残置）
000555,HM JAPAN株式会社,000007,小林,000002,B（残置）
000556,ｴﾈﾙｴｯｸｽ･ｼﾞｬﾊﾟﾝ株式会社,000007,小林,000002,B（残置）
000557,株式会社CNS,000007,小林,000003,C（解体）
000558,株式会社WY's,000007,小林,000002,B（残置）
000559,株式会社LINKAGE,000007,小林,000002,B（残置）
000560,國泰飯店,000002,渡辺,000006,F（他）
000561,株式会社ｱｰﾙﾂｰ,000007,小林,000002,B（残置）
000562,株式会社かねたや家具店,000013,かねたや,000006,F（他）
000563,株式会社斎藤英次商店,000013,かねたや,,
000564,千葉興産株式会社,000002,渡辺,000002,B（残置）
000565,株式会社北辰産業,000013,かねたや,,
000566,有限会社ｻｸｾｽﾒｲﾄ,000002,渡辺,000006,F（他）
000567,株式会社ｸﾛｽ･ｲﾝｻﾎﾟ,000013,かねたや,,
000568,株式会社生田設備工業所,000007,小林,000002,B（残置）
000569,株式会社希松,000005,今村（紀）,000002,B（残置）
000570,有限会社ﾌﾛﾝﾃｨｱ,000002,渡辺,000001,A（事業）
000571,株式会社ﾌｫﾚｽﾄｲﾝﾌｨﾆﾃｨ,000005,今村（紀）,000004,D（建設）
000572,株式会社ｴｺｯｸ,000006,川部,000001,A（事業）
000573,石崎産業株式会社,000002,渡辺,000004,D（建設）
000574,板原工業株式会社,000001,矢作,000003,C（解体）
000575,ﾒﾀﾙﾊﾞﾝｸ合同会社,000006,川部,000004,D（建設）
000576,株式会社小貫興業,000004,山本,000003,C（解体）
000577,ｳﾞｧﾚﾝﾃｨﾉ ｼﾞｬﾊﾟﾝ株式会社,000007,小林,000002,B（残置）
000578,ﾃﾞﾙ･ﾃｸﾉﾛｼﾞｰｽﾞ株式会社,000007,小林,000002,B（残置）
000579,有限会社ﾄﾞﾑｽ管財,000005,今村（紀）,000004,D（建設）
000580,株式会社まごのて,000006,川部,000002,B（残置）
000581,株式会社古川組,000005,今村（紀）,000004,D（建設）
000582,株式会社木戸工業,000007,小林,000002,B（残置）
000583,ﾗｲｶｼﾞｵｼｽﾃﾑｽﾞ株式会社,000007,小林,000002,B（残置）
000584,株式会社ｼｰｽﾘｰ,000006,川部,000004,D（建設）
000585,株式会社ﾊﾞﾘｰ･ｼﾞｬﾊﾟﾝ,000007,小林,000002,B（残置）
000586,有限会社宗徳環境,000004,山本,000004,D（建設）
000587,日本ｴｰ･ｴｽ･ｴﾑ株式会社,000007,小林,000002,B（残置）
000588,日新設備株式会社,000006,川部,000004,D（建設）
000589,株式会社ﾌﾛﾝﾃｨｱ,000006,川部,000004,D（建設）
000590,株式会社ﾌﾛﾝﾃｨｱ,000006,川部,000004,D（建設）
000591,東京ｶﾞｽすまいるｻﾎﾟｰﾄ株式会社,000006,川部,000004,D（建設）
000592,しんきんｱｾｯﾄﾏﾈｼﾞﾒﾝﾄ投信株式会社,000006,川部,000005,E（中・積)
000593,ｱｰﾙｷｭｰﾌﾞ株式会社,000007,小林,000002,B（残置）
000594,新菱冷熱工業株式会社都市環境事業部,000006,川部,000004,D（建設）
000595,REON,000006,川部,000002,B（残置）
000596,ｸﾘｽﾁｬﾝ･ﾃﾞｨｵｰﾙ合同会社,000007,小林,000002,B（残置）
000597,飛鳥田工業,000006,川部,000004,D（建設）
000598,株式会社鳶浩工業,000006,川部,000004,D（建設）
000599,株式会社桔梗,000006,川部,000004,D（建設）
000601,株式会社丸正環境ｾﾝﾀｰ,000006,川部,000005,E（中・積)
000602,株式会社中央流通ｻｰﾋﾞｽ,000006,川部,000002,B（残置）
000603,ｺﾄﾌﾞｷｼｰﾃｨﾝｸﾞ株式会社,000006,川部,000004,D（建設）
000604,株式会社折井電装,000006,川部,000005,E（中・積)
000605,有限会社ｺｰﾜｰｶｰｽﾞ,000006,川部,000004,D（建設）
000606,株式会社ｽﾃﾗﾏｯｶｰﾄﾆｰｼﾞｬﾊﾟﾝ,000007,小林,000002,B（残置）
000607,有限会社第一関東,000006,川部,000003,C（解体）
000608,ｽﾊﾞﾙ興業株式会社昭和島事業所,000006,川部,000004,D（建設）
000609,株式会社ｱﾛｰｽﾞﾍﾙｽｹｱ,000007,小林,000002,B（残置）
000610,株式会社ｶﾅｵｺｰﾎﾟﾚｰｼｮﾝ,000006,川部,000003,C（解体）
000611,株式会社ﾗｲｽﾞ,000006,川部,000005,E（中・積)
000612,株式会社AIIN 愛英社,000002,渡辺,000003,C（解体）
000613,吉田機電株式会社大阪支店,000006,川部,000004,D（建設）
000614,株式会社大樹,000006,川部,000003,C（解体）
000615,株式会社ﾃｨｰﾊﾞﾗﾝｽ,000007,小林,000002,B（残置）
000616,大栄産業株式会社,000006,川部,000003,C（解体）
000617,有限会社ｱｲｴﾑ,000006,川部,000005,E（中・積)
000618,東京ｶﾞｽﾘﾉﾍﾞｰｼｮﾝ株式会社,000006,川部,000004,D（建設）
000619,株式会社ｼﾞｮｰｼﾞﾍﾟｲﾝﾄ,000006,川部,000004,D（建設）
00061X,株式会社横田住建,000007,小林,000002,B（残置）
000620,株式会社渋谷商店,000006,川部,000001,A（事業）
000621,株式会社四谷建設,000006,川部,000003,C（解体）
000622,竹内運送株式会社,000006,川部,000001,A（事業）
000623,松田建設工業株式会社,000005,今村（紀）,000004,D（建設）
000624,株式会社五繁,000006,川部,000002,B（残置）
000625,ﾌｼﾞﾈｯﾄﾜｰｸｽ株式会社,000006,川部,000001,A（事業）
000626,株式会社WELL,000006,川部,000002,B（残置）
000627,株式会社JANSTAR,000006,川部,000003,C（解体）
000628,有限会社林商店,000003,蛯子,000004,D（建設）
000629,株式会社坪野谷紙業,000002,渡辺,000001,A（事業）
000630,お助け本舗 江東門前仲町店,000003,蛯子,000002,B（残置）
000631,ﾊｳｽｻﾎﾟｰﾄ ｹｰｲﾝ,000003,蛯子,000002,B（残置）
000632,浅野興業,000003,蛯子,000004,D（建設）
000633,株式会社小池工業,000003,蛯子,000004,D（建設）
000634,株式会社司工業,000003,蛯子,000004,D（建設）
000635,株式会社ﾐﾈｲ興業,000003,蛯子,000003,C（解体）
000636,株式会社小川興業,000006,川部,000003,C（解体）
000637,urban force株式会社,000003,蛯子,000004,D（建設）
000638,株式会社ﾕｶ,000003,蛯子,000006,F（他）
000639,KUDAI株式会社,000006,川部,000003,C（解体）
000640,松岡一氏,000003,蛯子,000004,D（建設）
000641,23Move,000003,蛯子,000002,B（残置）
000642,KANTO MOVE,000003,蛯子,000002,B（残置）
000643,有限会社小宮興業,000007,小林,000003,C（解体）
000644,東京ﾍﾞｲﾈｯﾄﾜｰｸ株式会社,000005,今村（紀）,000005,E（中・積)
000645,株式会社ｾﾞﾛｼｽﾃﾑｽﾞ,000002,渡辺,000006,F（他）
000646,株式会社OIMｾﾝﾀｰ,000005,今村（紀）,000002,B（残置）
000647,株式会社ｴｺﾛｸ,000005,今村（紀）,000002,B（残置）
000648,ﾆｯﾀｴｱｿﾘｭｰｼｮﾝｽﾞ株式会社,000005,今村（紀）,000004,D（建設）
000649,株式会社ﾖｼﾀﾞ防災設備,000005,今村（紀）,000004,D（建設）
000650,ﾄｰﾖｰ消火器工業株式会社,000005,今村（紀）,000004,D（建設）
000651,株式会社ﾌﾟﾛﾀﾞｸﾄ,000007,小林,000002,B（残置）
000652,ｼﾞｬﾊﾟﾝｴﾚﾍﾞｰﾀｰｻｰﾋﾞｽ城南株式会社,000005,今村（紀）,000005,E（中・積)
000653,株式会社綾青塗装工業,000005,今村（紀）,000003,C（解体）
000654,ｾｷｽｲﾊｲﾑ 不動産株式会社,000005,今村（紀）,000004,D（建設）
000655,株式会社一神創業,000002,渡辺,000003,C（解体）
000656,本田建設株式会社,000007,小林,000003,C（解体）
000657,株式会社ｴﾇ･ｹｰ商会,000007,小林,000003,C（解体）
000658,株式会社三友建設,000002,渡辺,000003,C（解体）
000659,株式会社藤隆工業,000006,川部,000003,C（解体）
00065X,有限会社五十嵐商事,000002,渡辺,000001,A（事業）
000660,株式会社甲信電気,000002,渡辺,000004,D（建設）
000661,株式会社深禄産業,000002,渡辺,000003,C（解体）
000662,有限会社三浦解体工業,000007,小林,000003,C（解体）
000663,八潮総業,000007,小林,000003,C（解体）
000664,株式会社ﾄﾗｲﾄﾞ･ｼﾞｬﾊﾟﾝ,000004,山本,000004,D（建設）
000665,枕崎工業株式会社,000004,山本,000004,D（建設）
000666,つばさ産業株式会社,000007,小林,000003,C（解体）
000667,恒栄ﾃｸﾉｽ株式会社,000004,山本,000004,D（建設）
000668,小早川組,000007,小林,000003,C（解体）
000669,宇都宮工業株式会社,000004,山本,000004,D（建設）
000670,株式会社友進,000002,渡辺,000003,C（解体）
000671,有限会社匠住建,000007,小林,000003,C（解体）
000672,林商事株式会社,000007,小林,000003,C（解体）
000673,ｱｼｽﾄｼﾞｬﾊﾟﾝ有限会社,000004,山本,000002,B（残置）
000674,株式会社ｴｲﾄ,000002,渡辺,000006,F（他）
000675,株式会社勇,000007,小林,000003,C（解体）
000676,有限会社ｲﾝｸﾞ,000002,渡辺,000003,C（解体）
000677,三建ｴﾝｼﾞﾆｱﾘﾝｸﾞｻｰﾋﾞｽ株式会社,000006,川部,000004,D（建設）
000678,株式会社久栄,000006,川部,000003,C（解体）
000679,株式会社ﾄｼｴﾝｼﾞﾆｱﾘﾝｸﾞ,000005,今村（紀）,000002,B（残置）
000680,三浦総合ｻｰﾋﾞｽ,000005,今村（紀）,000003,C（解体）
000681,ﾀｶﾕﾘﾌｫｰﾑ,000005,今村（紀）,000004,D（建設）
000682,株式会社日比商店,000005,今村（紀）,000002,B（残置）
000683,株式会社ｻｷｭﾚ,000005,今村（紀）,000002,B（残置）
000684,双葉ﾗｲﾝ株式会社,000005,今村（紀）,000004,D（建設）
000685,ﾏｲﾝﾄﾞｶﾝﾊﾟﾆｰ合同会社,000005,今村（紀）,000002,B（残置）
000686,清水 勝利,000005,今村（紀）,000002,B（残置）
000687,株式会社ﾄｰｼﾝ,000005,今村（紀）,000003,C（解体）
000688,株式会社謙,000005,今村（紀）,000003,C（解体）
000689,NTRｱｼｽﾄ,000005,今村（紀）,000002,B（残置）
000690,有限会社ﾕｰﾄﾋﾟｱ・ｳﾞｨｼﾞｮﾝ,000005,今村（紀）,000002,B（残置）
000691,安政木材株式会社,000005,今村（紀）,000004,D（建設）
000692,株式会社ﾜｶｼﾏ,000005,今村（紀）,000001,A（事業）
000694,KGKサービス株式会社,000005,今村（紀）,000005,E（中・積)
000695,株式会社ﾗｲｼﾞﾝｸﾞ,000005,今村（紀）,000003,C（解体）
000696,株式会社井上,000002,渡辺,000006,F（他）
000697,日立建機日本株式会社東京東営業所,000005,今村（紀）,000004,D（建設）
000698,有限会社笠倉運輸,000002,渡辺,000002,B（残置）
000699,株式会社ﾋﾞｰﾄｩﾙｰ,000005,今村（紀）,000002,B（残置）
000700,株式会社Free Style,000005,今村（紀）,000004,D（建設）
000701,日本基礎技術株式会社首都圏支店 工事部,000005,今村（紀）,000004,D（建設）
000702,株式会社ｱｰｽｱﾝﾄﾞｳｫｰﾀｰ,000005,今村（紀）,000002,B（残置）
000703,will Company,000005,今村（紀）,000002,B（残置）
000704,株式会社ﾕﾆﾏｯﾄﾗｲﾌ ﾘﾉﾍﾞｰｼｮﾝ事業部,000005,今村（紀）,000004,D（建設）
000705,株式会社ﾏｯｸｸﾘｴｰﾄ,000002,渡辺,000006,F（他）
000706,株式会社産業分析ｾﾝﾀｰ,000005,今村（紀）,000002,B（残置）
000707,株式会社ﾓﾘﾃｯｸ,000005,今村（紀）,000004,D（建設）
000708,日本ﾊﾟﾚｯﾄﾚﾝﾀﾙ株式会社,000005,今村（紀）,000004,D（建設）
000709,佐富工業株式会社,000005,今村（紀）,000003,C（解体）
000710,首都高機械ﾒﾝﾃﾅﾝｽ株式会社,000005,今村（紀）,000004,D（建設）
000711,株式会社ｴｽｹｰｸﾘｰﾄﾞ,000005,今村（紀）,000004,D（建設）
000712,株式会社先駆ﾜｰｸｽ,000005,今村（紀）,000002,B（残置）
000713,株式会社ﾏﾘﾃｯｸｽ,000005,今村（紀）,000004,D（建設）
000714,株式会社ｸﾞﾚｲﾝ･ｴｽ･ﾋﾟｰ,000005,今村（紀）,000002,B（残置）
000715,株式会社HPCﾃｯｸ,000005,今村（紀）,000005,E（中・積)
000716,株式会社一生涯,000005,今村（紀）,000002,B（残置）
000717,株式会社ｼﾞｪｲﾋﾟｰｴﾙ,000005,今村（紀）,000002,B（残置）
000718,株式会社ﾊﾙﾊﾟｴﾔ,000005,今村（紀）,000002,B（残置）
000719,SMCK株式会社,000005,今村（紀）,000003,C（解体）
000720,白川電工,000005,今村（紀）,000004,D（建設）
000721,株式会社Utility Works,000005,今村（紀）,000002,B（残置）
000722,株式会社ﾎﾞｽﾞﾊﾞｲ興業,000005,今村（紀）,000003,C（解体）
000723,ﾊﾅﾚｺｰﾄﾞ株式会社,000005,今村（紀）,000002,B（残置）
000724,ﾊﾔｼﾀﾞ消防設備株式会社,000005,今村（紀）,000004,D（建設）
000725,株式会社ﾌﾟﾛﾒﾛ･ｴﾑ,000005,今村（紀）,000003,C（解体）
000726,株式会社WorldLink&Company,000005,今村（紀）,000002,B（残置）
000727,Siemens Gamesa Renewbale Energy,000005,今村（紀）,000005,E（中・積)
000728,和工業,000005,今村（紀）,000003,C（解体）
000729,株式会社YDK,000005,今村（紀）,000003,C（解体）
000730,株式会社ﾜｲ･ｲｰﾋﾟｰ,000005,今村（紀）,000002,B（残置）
000731,株式会社GK総業,000005,今村（紀）,000003,C（解体）
000732,株式会社ﾄﾘﾌﾟﾙﾜﾝ,000005,今村（紀）,000003,C（解体）
000733,合同会社STEP-1,000005,今村（紀）,000003,C（解体）
000734,株式会社大橋商会,000005,今村（紀）,000005,E（中・積)
000735,ﾈｯﾄｺﾝﾃﾝﾂﾃﾞｻﾞｲﾝ株式会社,000005,今村（紀）,000005,E（中・積)
000736,株式会社縄野産業,000005,今村（紀）,000003,C（解体）
000737,ﾄｰﾀﾙｻｰﾋﾞｽBB,000005,今村（紀）,000003,C（解体）
000738,KS総業株式会社,000005,今村（紀）,000003,C（解体）
000739,公益財団法人 東京都中小企業振興公社,000005,今村（紀）,000005,E（中・積)
000740,株式会社ﾕﾆﾏｯﾄﾘｱﾙﾃｨｰ 施工管理部,000005,今村（紀）,000004,D（建設）
000741,桜測量設計株式会社,000005,今村（紀）,000003,C（解体）
000742,喜沢工業株式会社,000005,今村（紀）,000004,D（建設）
000743,株式会社正剛ｲﾝﾊﾞｳﾝﾄﾞ,000005,今村（紀）,000002,B（残置）
000744,株式会社ﾁｮﾗｸ工業,000005,今村（紀）,000003,C（解体）
000745,株式会社辰昇,000005,今村（紀）,000003,C（解体）
000746,GMC株式会社,000005,今村（紀）,000003,C（解体）
000747,株式会社FRISCH,000005,今村（紀）,000002,B（残置）
000748,公益財団法人B&G財団,000005,今村（紀）,000002,B（残置）
000749,御用聞き 紺野 成巨,000005,今村（紀）,000002,B（残置）
000750,株式会社SKY,000005,今村（紀）,000002,B（残置）
000751,ﾒｿﾞﾎﾟﾀﾐﾔ建設株式会社,000005,今村（紀）,000003,C（解体）
000752,株式会社ｸﾎﾞﾀ建設,000005,今村（紀）,000004,D（建設）
000753,株式会社ﾀﾂﾐﾃｸﾉｽ,000005,今村（紀）,000004,D（建設）
000754,株式会社ﾘﾝｸ,000005,今村（紀）,000005,E（中・積)
000755,M.Aｸﾘｰﾝ,000005,今村（紀）,000003,C（解体）
000756,株式会社ﾗｽﾃｨｯｸ,000005,今村（紀）,000003,C（解体）
000757,株式会社睦ﾐ,000007,小林,000003,C（解体）
000758,日起建設株式会社,000005,今村（紀）,000004,D（建設）
000759,株式会社永福引越ｾﾝﾀｰ（㈱渡辺興業）,000002,渡辺,000002,B（残置）
000760,株式会社ｱｻﾋ防災設備,000002,渡辺,000006,F（他）
000761,株式会社今井製作所,000002,渡辺,000006,F（他）
000762,株式会社関電工,000005,今村（紀）,000004,D（建設）
000763,有限会社ｾｲﾕｳ,000006,川部,000004,D（建設）
000764,都北運輸株式会社,000006,川部,000001,A（事業）
000765,有限会社斉藤興業,000006,川部,000003,C（解体）
000766,株式会社さくら装建,000002,渡辺,000002,B（残置）
000767,株式会社長谷工ｱｰﾍﾞｽﾄ,000002,渡辺,000005,E（中・積)
000768,株式会社伸榮産業,000002,渡辺,000001,A（事業）
000769,ﾘｻｲｸﾙﾎﾞﾑ,000006,川部,000002,B（残置）
000770,協立ｿﾘｭｰｼｮﾝｽﾞ株式会社,000002,渡辺,000004,D（建設）
000771,AGSﾋﾞｼﾞﾈｽｺﾝﾋﾟｭｰﾀｰ株式会社,000002,渡辺,000006,F（他）
000772,株式会社東邦運輸,000002,渡辺,000002,B（残置）
000773,ｴﾑﾈｯﾄ関東株式会社,000006,川部,000004,D（建設）
000774,株式会社ﾁｰﾑﾌｫｰ,000006,川部,000002,B（残置）
000775,株式会社ﾐﾔｷﾞ,000002,渡辺,000006,F（他）
000776,株式会社雄和,000006,川部,000003,C（解体）
000777,大木運送株式会社,000006,川部,000002,B（残置）
000778,ﾔｴｽ軽工業株式会社,000002,渡辺,000004,D（建設）
000779,株式会社南都興業,000006,川部,000003,C（解体）
000780,株式会社藤木工務店東京支店,000006,川部,000003,C（解体）
000781,株式会社孝建設,000006,川部,000003,C（解体）
000782,大城産業株式会社,000006,川部,000003,C（解体）
000783,株式会社ﾅｶﾑﾗ産興,000006,川部,000003,C（解体）
000784,株式会社S･K･R,000004,山本,000003,C（解体）
000785,大洋紙原有限会社,000006,川部,000005,E（中・積)
000786,東京重量工事株式会社,000006,川部,000004,D（建設）
000787,MINO,000004,山本,000004,D（建設）
000788,株式会社ｱｰﾙｹｲ商会,000001,矢作,000005,E（中・積)
000789,株式会社竹徳,000001,矢作,000004,D（建設）
000790,日炉工業株式会社,000004,山本,000004,D（建設）
000791,成友興業株式会社,000001,矢作,000005,E（中・積)
000792,有限会社木村建装,000006,川部,000004,D（建設）
000793,株式会社北海建設工業所,000005,今村（紀）,000004,D（建設）
000794,有限会社田村商店,000004,山本,000004,D（建設）
000795,城東ﾃｸﾉｻｰﾋﾞｽ株式会社,000004,山本,000004,D（建設）
000796,株式会社ｱｸﾃｨｵ,000001,矢作,000005,E（中・積)
000797,株式会社ｵｵﾏﾂ興業,000001,矢作,000005,E（中・積)
000798,しんめい株式会社,000007,小林,000002,B（残置）
000799,ﾖｺﾄｸ株式会社,000006,川部,000004,D（建設）
000800,株式会社HSMｴﾝｼﾞﾆｱﾘﾝｸﾞ,000004,山本,000002,B（残置）
000801,株式会社CVC,000004,山本,000003,C（解体）
000802,株式会社豊信ﾄﾗｽﾄ,000001,矢作,000005,E（中・積)
000803,株式会社田中興産,000004,山本,000003,C（解体）
000804,有限会社ｵﾌｨｽｶｽﾞ,000004,山本,000003,C（解体）
000805,司工業,000004,山本,000003,C（解体）
000806,株式会社三豊工業,000006,川部,000003,C（解体）
000807,三協工業株式会社,000006,川部,000004,D（建設）
000808,株式会社Y-maxx,000004,山本,000004,D（建設）
000809,株式会社ﾚｲ･ｲﾝﾌｨﾆﾃｨ,000004,山本,000003,C（解体）
000810,学校法人 華学園,000004,山本,000002,B（残置）
000811,株式会社A･K･Sﾌﾟﾗﾝﾆﾝｸﾞ,000001,矢作,000005,E（中・積)
000812,大阪装飾株式会社　東京ﾀﾋﾟｰ支店,000006,川部,000004,D（建設）
000813,株式会社植木組,000004,山本,000004,D（建設）
000814,ﾕﾆｯｸ輸送ｾﾝﾀｰ株式会社,,,,
000815,株式会社ﾃｨｱﾝﾄﾞﾃｨｺｰﾎﾟﾚｰｼｮﾝ,000006,川部,000004,D（建設）
000816,ｾﾗﾐｯｸ工業株式会社,000004,山本,000004,D（建設）
000817,有限会社のぼり環境ｻｰﾋﾞｽ,000006,川部,000003,C（解体）
000818,東光電気工事株式会社東京西支社,000006,川部,000004,D（建設）
000819,ﾊﾘﾀ金属株式会社,000001,矢作,000005,E（中・積)
000820,株式会社しょうじ建設,000001,矢作,000004,D（建設）
000821,株式会社ﾀｳﾝﾎﾃﾙ,000001,矢作,000002,B（残置）
000822,株式会社ｱﾙﾌｧﾊﾟｰﾁｪｽ,000001,矢作,000004,D（建設）
000823,株式会社あるくる,000001,矢作,000002,B（残置）
000824,ｾｱ建設株式会社,000006,川部,000003,C（解体）
000825,学校法人 共栄学園,000006,川部,000001,A（事業）
000826,東京紙業株式会社,000007,小林,000005,E（中・積)
000827,大和ﾊｳｽ工業株式会社,000001,矢作,000004,D（建設）
000828,株式会社TFDｺｰﾎﾟﾚｰｼｮﾝ,000001,矢作,000004,D（建設）
000829,前田建設工業株式会社,000001,矢作,000004,D（建設）
000830,二光産業処理有限会社,000001,矢作,000005,E（中・積)
000831,有限会社ｱｸｱ設備,,,,
000832,株式会社八洲ｸﾘｴｰｼｮﾝ,000001,矢作,000004,D（建設）
000833,ｼｸﾞﾏﾃｯｸ株式会社,000010,メタウォーター,,
000834,巖本金属株式会社,000010,メタウォーター,,
000835,有限会社小嶋建材,000010,メタウォーター,,
000836,株式会社ﾌﾞﾗｲﾄｸﾙｰｽﾞ,000001,矢作,000005,E（中・積)
000837,株式会社津軽衛生公社,000001,矢作,000005,E（中・積)
000838,株式会社ｾｵｽ,000010,メタウォーター,,
000839,有限会社東海CRATER,000001,矢作,000005,E（中・積)
000840,株式会社ｴｽｱｰﾙ,000010,メタウォーター,,
000841,株式会社ﾋﾗｶﾜ,000006,川部,000004,D（建設）
000842,株式会社野口工務店,000001,矢作,000004,D（建設）
000843,株式会社ｲﾎﾞｷﾝ,000004,山本,000002,B（残置）
000844,東武清掃株式会社,000010,メタウォーター,,
000845,株式会社どき,000001,矢作,000004,D（建設）
000846,株式会社拓洋興業,000001,矢作,000004,D（建設）
000847,ｺｰﾅﾝ建設株式会社,000001,矢作,000004,D（建設）
000848,江ﾉ浦石産株式会社,000010,メタウォーター,,
000849,太地建設株式会社,000010,メタウォーター,,
000850,株式会社昭栄,000010,メタウォーター,,
000851,株式会社風見,000001,矢作,000005,E（中・積)
000852,株式会社NIRO ENTERPRISE,000004,山本,000003,C（解体）
000853,株式会社ｳﾗﾀ,000004,山本,000004,D（建設）
000854,太陽建設株式会社,000010,メタウォーター,,
000855,石井産業有限会社,000010,メタウォーター,,
000856,株式会社ｼﾞｵﾌﾟﾗﾝﾆﾝｸﾞ,000001,矢作,000004,D（建設）
000857,有限会社ﾐｯｸ,000001,矢作,000004,D（建設）
000858,高松建設株式会社,000001,矢作,000004,D（建設）
000859,東電不動産株式会社,000001,矢作,000004,D（建設）
000860,ﾗﾝﾃﾞｨﾝｸﾞｼｽﾃﾑ株式会社,000007,小林,000003,C（解体）
000861,株式会社岡潮,000004,山本,000002,B（残置）
000862,TOKYO MOVE.com,000004,山本,000002,B（残置）
000863,株式会社第一広房TOKYO,000004,山本,000004,D（建設）
000864,株式会社ｼｭｱｰﾃﾞｻﾞｲﾝ,000004,山本,000003,C（解体）
000865,株式会社福井商店,000004,山本,000004,D（建設）
000866,三機ｸﾞﾘｰﾝﾃｯｸ株式会社,000004,山本,000004,D（建設）
000867,株式会社弘電社,000004,山本,000004,D（建設）
000868,水明機工株式会社,000004,山本,000004,D（建設）
000869,真柄建設株式会社,000004,山本,000004,D（建設）
000870,松崎建設株式会社東京支店,000004,山本,000003,C（解体）
000871,株式会社ﾌｼﾞﾏﾂ建商,000004,山本,000002,B（残置）
000872,株式会社ﾖｺﾊﾏﾀｲﾔｼﾞｬﾊﾟﾝ,000004,山本,000002,B（残置）
000873,伊藤忠ﾒﾀﾙｽﾞ株式会社,000001,矢作,000004,D（建設）
000874,株式会社誠商事,000004,山本,000003,C（解体）
000875,株式会社東洋信号通信社,000004,山本,000002,B（残置）
000876,加藤建設株式会社,000004,山本,000004,D（建設）
000877,東名空調ｻｰﾋﾞｽ株式会社東京営業所,000004,山本,000004,D（建設）
000878,有限会社まがみ商店,000004,山本,000004,D（建設）
000879,東宝舞台株式会社,000004,山本,000004,D（建設）
000880,日鉄ｿﾘｭｰｼｮﾝｽﾞ株式会社,000004,山本,000004,D（建設）
000881,寺嶋工業,000004,山本,000002,B（残置）
000882,株式会社原口解体,000004,山本,000003,C（解体）
000883,株式会社ﾄｰﾖｰ冨士工,000004,山本,000004,D（建設）
000884,有限会社松栄工業,000004,山本,000003,C（解体）
000885,NSSLCｻｰﾋﾞｽ株式会社,000004,山本,000002,B（残置）
000886,株式会社環境ﾃｺﾑ,000004,山本,000001,A（事業）
000887,株式会社寿建工,000004,山本,000003,C（解体）
000888,ﾄﾗｽﾄﾜﾝ･ﾌﾛｰﾗ芝株式会社,000004,山本,000003,C（解体）
000889,株式会社ｶｸｹﾝ,000004,山本,000003,C（解体）
000890,MC興業株式会社,000004,山本,000003,C（解体）
000891,株式会社MYKｼｽﾃﾑ,000004,山本,000001,A（事業）
000892,東和耐火工業株式会社,000004,山本,000004,D（建設）
000893,株式会社関東製作所,000004,山本,000004,D（建設）
000894,大喜商事株式会社,000004,山本,000003,C（解体）
000895,株式会社慶和,000004,山本,000003,C（解体）
000896,合同会社富山,000004,山本,000003,C（解体）
000897,株式会社西仁,000004,山本,000003,C（解体）
000898,有限会社共成建設,000004,山本,000003,C（解体）
000899,合同会社白湖,000004,山本,000003,C（解体）
000900,株式会社 Dﾏｲﾙｽ,000004,山本,000003,C（解体）
000901,株式会社 ｲｲﾀﾞ工業,000004,山本,000003,C（解体）
000902,株式会社HAND,000004,山本,000002,B（残置）
000903,株式会社雄飛,000004,山本,000003,C（解体）
000904,株式会社TWC,000004,山本,000003,C（解体）
000905,株式会社舞浜企画,000004,山本,000003,C（解体）
000906,gf.K 株式会社,000004,山本,000002,B（残置）
000907,三浦総業株式会社,000004,山本,000003,C（解体）
000908,株式会社ﾌﾟﾗｲﾏﾙｳﾞｪﾆｭｰ,000004,山本,000002,B（残置）
000909,株式会社鈴鹿,000004,山本,000004,D（建設）
000910,龍建工業株式会社,000004,山本,000003,C（解体）
000911,株式会社TRANS-K,000004,山本,000003,C（解体）
000912,株式会社相新工業,000004,山本,000003,C（解体）
000913,柳田運輸株式会社,000004,山本,000002,B（残置）
000914,みなと開発株式会社,000004,山本,000003,C（解体）
000915,株式会社ARCH,000004,山本,000002,B（残置）
000916,株式会社鎌奥工務店,000007,小林,000004,D（建設）
000917,株式会社ｴｽｳﾞｲｴｽ,000004,山本,000002,B（残置）
000918,日本ﾃﾚﾋﾞ放送網株式会社,000004,山本,000002,B（残置）
000919,合同会社ﾃｨｰｴｰ運送,000004,山本,000004,D（建設）
000920,株式会社ﾀﾏｺｰﾎﾟﾚｰｼｮﾝ,000004,山本,000003,C（解体）
000921,株式会社MSK,000004,山本,000002,B（残置）
000922,吉興業合同会社,000004,山本,000003,C（解体）
000923,石福金属興業株式会社,000004,山本,000002,B（残置）
000924,株式会社ﾌﾟﾛｸﾞﾚｽ,000004,山本,000002,B（残置）
000925,株式会社新型ｺﾛﾅ対策,000004,山本,000002,B（残置）
000926,株式会社光工務店,000004,山本,000004,D（建設）
000927,住べｼｰﾄ防水株式会社,000004,山本,000004,D（建設）
000928,株式会社ｼｪﾉﾝﾋﾞｰ,000004,山本,000002,B（残置）
000929,株式会社ｼﾞｪｲｱｰﾙ東日本企画,000004,山本,000002,B（残置）
