date,total_customer_count_csv,fixed_customer_count_csv,fixed_customer_ratio_csv,total_customer_count_db,fixed_customer_count_db,fixed_customer_ratio_db,diff_total,diff_fixed,diff_ratio
2023-04-11,65,41,0.6307692307692307,65,41,0.630769,0,0,-2.3076923072462563e-07
2023-04-12,65,35,0.5384615384615384,65,35,0.538462,0,0,4.6153846156027356e-07
2023-04-13,59,36,0.6101694915254238,59,36,0.610169,0,0,-4.915254238069267e-07
2023-04-14,65,41,0.6307692307692307,65,41,0.630769,0,0,-2.3076923072462563e-07
2023-04-15,58,31,0.5344827586206896,58,31,0.534483,0,0,2.413793104283357e-07
2023-04-16,19,11,0.5789473684210527,19,11,0.578947,0,0,-3.6842105266554626e-07
2023-04-17,63,35,0.5555555555555556,63,35,0.555556,0,0,4.4444444446956055e-07
2023-04-18,73,40,0.547945205479452,73,40,0.547945,0,0,-2.054794520089942e-07
2023-04-19,65,35,0.5384615384615384,65,35,0.538462,0,0,4.6153846156027356e-07
2023-04-20,65,37,0.5692307692307692,65,37,0.569231,0,0,2.3076923083564793e-07
2023-04-21,74,41,0.5540540540540541,74,41,0.554054,0,0,-5.405405401059937e-08
2023-04-22,50,31,0.62,50,31,0.62,0,0,0.0
2023-04-23,18,10,0.5555555555555556,18,10,0.555556,0,0,4.4444444446956055e-07
2023-04-24,64,35,0.546875,64,35,0.546875,0,0,0.0
2023-04-25,70,41,0.5857142857142857,70,41,0.585714,0,0,-2.8571428578594293e-07
2023-04-26,68,36,0.5294117647058824,68,36,0.529412,0,0,2.352941176342327e-07
2023-04-27,67,36,0.5373134328358209,67,36,0.537313,0,0,-4.328358208516292e-07
2023-04-28,70,39,0.5571428571428572,70,39,0.557143,0,0,1.4285714289297147e-07
2023-04-29,62,15,0.2419354838709677,62,15,0.241935,0,0,-4.838709676824315e-07
2023-04-30,24,10,0.4166666666666667,24,10,0.416667,0,0,3.3333333332441484e-07
2023-05-01,69,33,0.4782608695652174,69,33,0.478261,0,0,1.3043478258589758e-07
2023-05-02,80,39,0.4875,80,39,0.4875,0,0,0.0
2023-05-06,54,31,0.5740740740740741,54,31,0.574074,0,0,-7.407407409676381e-08
2023-05-07,23,11,0.4782608695652174,23,11,0.478261,0,0,1.3043478258589758e-07
2023-05-08,53,35,0.660377358490566,53,35,0.660377,0,0,-3.584905660103388e-07
2023-05-09,70,43,0.6142857142857143,70,43,0.614286,0,0,2.8571428567492063e-07
2023-05-10,71,36,0.5070422535211268,71,36,0.507042,0,0,-2.535211267584714e-07
2023-05-11,61,36,0.5901639344262295,61,36,0.590164,0,0,6.557377052462954e-08
2023-05-12,65,40,0.6153846153846154,65,40,0.615385,0,0,3.846153845410427e-07
2023-05-13,51,32,0.6274509803921569,51,32,0.627451,0,0,1.96078431269342e-08
2023-05-14,25,10,0.4,25,10,0.4,0,0,0.0
2023-05-15,53,35,0.660377358490566,53,35,0.660377,0,0,-3.584905660103388e-07
2023-05-16,71,48,0.676056338028169,71,48,0.676056,0,0,-3.380281690112952e-07
2023-05-17,71,37,0.5211267605633803,71,37,0.521127,0,0,2.394366197533415e-07
2023-05-18,54,38,0.7037037037037037,54,38,0.703704,0,0,2.9629629627603293e-07
2023-05-19,67,40,0.5970149253731343,67,40,0.597015,0,0,7.462686568704413e-08
2023-05-20,56,33,0.5892857142857143,56,33,0.589286,0,0,2.8571428567492063e-07
2023-05-21,24,10,0.4166666666666667,24,10,0.416667,0,0,3.3333333332441484e-07
2023-05-22,59,36,0.6101694915254238,59,36,0.610169,0,0,-4.915254238069267e-07
2023-05-23,75,42,0.56,75,42,0.56,0,0,0.0
2023-05-24,80,35,0.4375,80,35,0.4375,0,0,0.0
2023-05-25,66,36,0.5454545454545454,66,36,0.545455,0,0,4.5454545460899e-07
2023-05-26,67,40,0.5970149253731343,67,40,0.597015,0,0,7.462686568704413e-08
2023-05-27,53,31,0.5849056603773585,53,31,0.584906,0,0,3.3962264156528477e-07
2023-05-28,31,11,0.3548387096774194,31,11,0.354839,0,0,2.903225806427656e-07
2023-05-29,63,39,0.6190476190476191,63,39,0.619048,0,0,3.8095238097390904e-07
2023-05-30,65,41,0.6307692307692307,65,41,0.630769,0,0,-2.3076923072462563e-07
2023-05-31,69,38,0.5507246376811594,69,38,0.550725,0,0,3.6231884059656494e-07
2023-06-01,59,36,0.6101694915254238,59,36,0.610169,0,0,-4.915254238069267e-07
2023-06-02,61,41,0.6721311475409836,61,41,0.672131,0,0,-1.4754098354163858e-07
2023-06-03,54,31,0.5740740740740741,54,31,0.574074,0,0,-7.407407409676381e-08
2023-06-04,19,10,0.5263157894736842,19,10,0.526316,0,0,2.105263158247439e-07
2023-06-05,57,35,0.6140350877192983,57,35,0.614035,0,0,-8.771929826956182e-08
2023-06-06,72,42,0.5833333333333334,72,42,0.583333,0,0,-3.33333333379926e-07
2023-06-07,69,35,0.5072463768115942,69,35,0.507246,0,0,-3.7681159426039557e-07
2023-06-08,62,36,0.5806451612903226,62,36,0.580645,0,0,-1.612903226533291e-07
2023-06-09,78,40,0.5128205128205128,78,40,0.512821,0,0,4.871794871963431e-07
2023-06-10,51,31,0.6078431372549019,51,31,0.607843,0,0,-1.372549018885394e-07
2023-06-12,63,34,0.5396825396825397,63,34,0.539683,0,0,4.60317460371229e-07
2023-06-13,64,40,0.625,64,40,0.625,0,0,0.0
2023-06-14,60,35,0.5833333333333334,60,35,0.583333,0,0,-3.33333333379926e-07
2023-06-15,58,36,0.6206896551724138,58,36,0.62069,0,0,3.4482758615173026e-07
2023-06-16,67,41,0.6119402985074627,67,41,0.61194,0,0,-2.985074626371542e-07
2023-06-17,49,31,0.6326530612244898,49,31,0.632653,0,0,-6.122448981127349e-08
2023-06-18,23,10,0.4347826086956521,23,10,0.434783,0,0,3.9130434786871504e-07
2023-06-19,60,36,0.6,60,36,0.6,0,0,0.0
2023-06-20,71,42,0.5915492957746479,71,42,0.591549,0,0,-2.957746478848833e-07
2023-06-21,71,39,0.5492957746478874,71,39,0.549296,0,0,2.2535211263718935e-07
2023-06-22,62,35,0.5645161290322581,62,35,0.564516,0,0,-1.2903225810045882e-07
2023-06-23,61,40,0.6557377049180327,61,40,0.655738,0,0,2.9508196730532177e-07
2023-06-24,52,31,0.5961538461538461,52,31,0.596154,0,0,1.5384615381641709e-07
2023-06-25,20,11,0.55,20,11,0.55,0,0,0.0
2023-06-26,58,37,0.6379310344827587,58,37,0.637931,0,0,-3.4482758648479717e-08
2023-06-27,71,41,0.5774647887323944,71,41,0.577465,0,0,2.1126760563205949e-07
2023-06-28,63,35,0.5555555555555556,63,35,0.555556,0,0,4.4444444446956055e-07
2023-06-29,62,36,0.5806451612903226,62,36,0.580645,0,0,-1.612903226533291e-07
2023-06-30,72,40,0.5555555555555556,72,40,0.555556,0,0,4.4444444446956055e-07
2023-07-01,57,30,0.5263157894736842,57,30,0.526316,0,0,2.105263158247439e-07
2023-07-02,19,10,0.5263157894736842,19,10,0.526316,0,0,2.105263158247439e-07
2023-07-03,57,34,0.5964912280701754,57,34,0.596491,0,0,-2.2807017541204289e-07
2023-07-04,67,42,0.6268656716417911,67,42,0.626866,0,0,3.283582089563808e-07
2023-07-05,64,36,0.5625,64,36,0.5625,0,0,0.0
2023-07-06,71,36,0.5070422535211268,71,36,0.507042,0,0,-2.535211267584714e-07
2023-07-07,68,40,0.5882352941176471,68,40,0.588235,0,0,-2.941176471260576e-07
2023-07-08,59,31,0.5254237288135594,59,31,0.525424,0,0,2.7118644063683917e-07
2023-07-10,58,34,0.5862068965517241,58,34,0.586207,0,0,1.0344827594543915e-07
2023-07-11,70,41,0.5857142857142857,70,41,0.585714,0,0,-2.8571428578594293e-07
2023-07-12,64,35,0.546875,64,35,0.546875,0,0,0.0
2023-07-13,66,36,0.5454545454545454,66,36,0.545455,0,0,4.5454545460899e-07
2023-07-14,64,40,0.625,64,40,0.625,0,0,0.0
2023-07-15,57,30,0.5263157894736842,57,30,0.526316,0,0,2.105263158247439e-07
2023-07-16,24,14,0.5833333333333334,24,14,0.583333,0,0,-3.33333333379926e-07
2023-07-17,31,16,0.5161290322580645,31,16,0.516129,0,0,-3.225806455287028e-08
2023-07-18,62,43,0.6935483870967742,62,43,0.693548,0,0,-3.8709677419035415e-07
2023-07-19,68,38,0.5588235294117647,68,38,0.558824,0,0,4.705882352684654e-07
2023-07-20,73,36,0.4931506849315068,73,36,0.493151,0,0,3.150684931840786e-07
2023-07-21,74,40,0.5405405405405406,74,40,0.540541,0,0,4.5945945947867273e-07
2023-07-22,52,31,0.5961538461538461,52,31,0.596154,0,0,1.5384615381641709e-07
2023-07-23,25,14,0.56,25,14,0.56,0,0,0.0
2023-07-24,63,34,0.5396825396825397,63,34,0.539683,0,0,4.60317460371229e-07
2023-07-25,75,41,0.5466666666666666,75,41,0.546667,0,0,3.33333333379926e-07
2023-07-26,69,35,0.5072463768115942,69,35,0.507246,0,0,-3.7681159426039557e-07
2023-07-27,67,36,0.5373134328358209,67,36,0.537313,0,0,-4.328358208516292e-07
2023-07-28,68,40,0.5882352941176471,68,40,0.588235,0,0,-2.941176471260576e-07
2023-07-29,48,32,0.6666666666666666,48,32,0.666667,0,0,3.33333333379926e-07
2023-07-30,27,13,0.4814814814814814,27,13,0.481481,0,0,-4.814814814069202e-07
2023-07-31,57,34,0.5964912280701754,57,34,0.596491,0,0,-2.2807017541204289e-07
2023-08-01,69,43,0.6231884057971014,69,43,0.623188,0,0,-4.057971014770345e-07
2023-08-02,57,36,0.631578947368421,57,36,0.631579,0,0,5.263157898394155e-08
2023-08-03,70,36,0.5142857142857142,70,36,0.514286,0,0,2.8571428578594293e-07
2023-08-04,71,43,0.6056338028169014,71,43,0.605634,0,0,1.9718309862692962e-07
2023-08-05,61,32,0.5245901639344263,61,32,0.52459,0,0,-1.639344262560627e-07
2023-08-06,20,10,0.5,20,10,0.5,0,0,0.0
2023-08-07,57,35,0.6140350877192983,57,35,0.614035,0,0,-8.771929826956182e-08
2023-08-08,66,41,0.6212121212121212,66,41,0.621212,0,0,-1.21212121229064e-07
2023-08-09,73,36,0.4931506849315068,73,36,0.493151,0,0,3.150684931840786e-07
2023-08-10,76,38,0.5,76,38,0.5,0,0,0.0
2023-08-11,44,16,0.3636363636363636,44,16,0.363636,0,0,-3.636363635761697e-07
2023-08-12,64,30,0.46875,64,30,0.46875,0,0,0.0
2023-08-16,62,36,0.5806451612903226,62,36,0.580645,0,0,-1.612903226533291e-07
2023-08-17,65,38,0.5846153846153846,65,38,0.584615,0,0,-3.84615384652065e-07
2023-08-18,69,42,0.6086956521739131,69,42,0.608696,0,0,3.478260869327343e-07
2023-08-19,49,32,0.6530612244897959,49,32,0.653061,0,0,-2.2448979586364715e-07
2023-08-20,20,10,0.5,20,10,0.5,0,0,0.0
2023-08-21,59,37,0.6271186440677966,59,37,0.627119,0,0,3.5593220337748477e-07
2023-08-22,68,43,0.6323529411764706,68,43,0.632353,0,0,5.88235294918249e-08
2023-08-23,70,36,0.5142857142857142,70,36,0.514286,0,0,2.8571428578594293e-07
2023-08-24,60,38,0.6333333333333333,60,38,0.633333,0,0,-3.333333332689037e-07
2023-08-25,71,41,0.5774647887323944,71,41,0.577465,0,0,2.1126760563205949e-07
2023-08-26,50,32,0.64,50,32,0.64,0,0,0.0
2023-08-27,22,11,0.5,22,11,0.5,0,0,0.0
2023-08-28,67,37,0.5522388059701493,67,37,0.552239,0,0,1.9402985074190582e-07
2023-08-29,75,42,0.56,75,42,0.56,0,0,0.0
2023-08-30,71,38,0.5352112676056338,71,38,0.535211,0,0,-2.6760563376360125e-07
2023-08-31,74,41,0.5540540540540541,74,41,0.554054,0,0,-5.405405401059937e-08
2023-09-01,71,40,0.5633802816901409,71,40,0.56338,0,0,-2.816901408797534e-07
2023-09-02,50,31,0.62,50,31,0.62,0,0,0.0
2023-09-03,28,10,0.3571428571428571,28,10,0.357143,0,0,1.4285714289297147e-07
2023-09-04,54,34,0.6296296296296297,54,34,0.62963,0,0,3.7037037037279674e-07
2023-09-05,66,41,0.6212121212121212,66,41,0.621212,0,0,-1.21212121229064e-07
2023-09-06,68,34,0.5,68,34,0.5,0,0,0.0
2023-09-07,65,35,0.5384615384615384,65,35,0.538462,0,0,4.6153846156027356e-07
2023-09-08,65,40,0.6153846153846154,65,40,0.615385,0,0,3.846153845410427e-07
2023-09-09,44,31,0.7045454545454546,44,31,0.704545,0,0,-4.5454545460899e-07
2023-09-11,63,33,0.5238095238095238,63,33,0.52381,0,0,4.7619047616187515e-07
2023-09-12,65,42,0.6461538461538462,65,42,0.646154,0,0,1.5384615381641709e-07
2023-09-13,71,35,0.4929577464788732,71,35,0.492958,0,0,2.5352112681398253e-07
2023-09-14,76,36,0.4736842105263157,76,36,0.473684,0,0,-2.105263157137216e-07
2023-09-15,67,40,0.5970149253731343,67,40,0.597015,0,0,7.462686568704413e-08
2023-09-16,57,32,0.5614035087719298,57,32,0.561404,0,0,4.912280702207283e-07
2023-09-17,23,12,0.5217391304347826,23,12,0.521739,0,0,-1.3043478264140873e-07
2023-09-18,47,22,0.4680851063829787,47,22,0.468085,0,0,-1.0638297870402269e-07
2023-09-19,68,41,0.6029411764705882,68,41,0.602941,0,0,-1.764705882534301e-07
2023-09-20,64,35,0.546875,64,35,0.546875,0,0,0.0
2023-09-21,68,35,0.5147058823529411,68,35,0.514706,0,0,1.176470588726275e-07
2023-09-22,65,40,0.6153846153846154,65,40,0.615385,0,0,3.846153845410427e-07
2023-09-23,49,16,0.3265306122448979,49,16,0.326531,0,0,3.877551021380654e-07
2023-09-24,23,10,0.4347826086956521,23,10,0.434783,0,0,3.9130434786871504e-07
2023-09-25,64,33,0.515625,64,33,0.515625,0,0,0.0
2023-09-26,72,41,0.5694444444444444,72,41,0.569444,0,0,-4.4444444446956055e-07
2023-09-27,71,35,0.4929577464788732,71,35,0.492958,0,0,2.5352112681398253e-07
2023-09-28,70,36,0.5142857142857142,70,36,0.514286,0,0,2.8571428578594293e-07
2023-09-29,67,40,0.5970149253731343,67,40,0.597015,0,0,7.462686568704413e-08
2023-09-30,57,31,0.543859649122807,57,31,0.54386,0,0,3.5087719296722497e-07
2023-10-01,29,10,0.3448275862068966,29,10,0.344828,0,0,4.137931034486897e-07
2023-10-02,62,34,0.5483870967741935,62,34,0.548387,0,0,-9.677419354758854e-08
2023-10-03,77,41,0.5324675324675324,77,41,0.532468,0,0,4.6753246762953893e-07
2023-10-04,60,35,0.5833333333333334,60,35,0.583333,0,0,-3.33333333379926e-07
2023-10-05,69,36,0.5217391304347826,69,36,0.521739,0,0,-1.3043478264140873e-07
2023-10-06,63,39,0.6190476190476191,63,39,0.619048,0,0,3.8095238097390904e-07
2023-10-07,54,31,0.5740740740740741,54,31,0.574074,0,0,-7.407407409676381e-08
2023-10-09,46,20,0.4347826086956521,46,20,0.434783,0,0,3.9130434786871504e-07
2023-10-10,64,41,0.640625,64,41,0.640625,0,0,0.0
2023-10-11,68,35,0.5147058823529411,68,35,0.514706,0,0,1.176470588726275e-07
2023-10-12,67,35,0.5223880597014925,67,35,0.522388,0,0,-5.970149252743084e-08
2023-10-13,73,40,0.547945205479452,73,40,0.547945,0,0,-2.054794520089942e-07
2023-10-14,49,31,0.6326530612244898,49,31,0.632653,0,0,-6.122448981127349e-08
2023-10-15,23,10,0.4347826086956521,23,10,0.434783,0,0,3.9130434786871504e-07
2023-10-16,60,34,0.5666666666666667,60,34,0.566667,0,0,3.33333333379926e-07
2023-10-17,75,41,0.5466666666666666,75,41,0.546667,0,0,3.33333333379926e-07
2023-10-18,70,37,0.5285714285714286,70,37,0.528571,0,0,-4.285714285678921e-07
2023-10-19,75,36,0.48,75,36,0.48,0,0,0.0
2023-10-20,74,40,0.5405405405405406,74,40,0.540541,0,0,4.5945945947867273e-07
2023-10-21,58,31,0.5344827586206896,58,31,0.534483,0,0,2.413793104283357e-07
2023-10-22,26,10,0.3846153846153846,26,10,0.384615,0,0,-3.8461538459655387e-07
2023-10-23,59,34,0.576271186440678,59,34,0.576271,0,0,-1.8644067800721587e-07
2023-10-24,76,42,0.5526315789473685,76,42,0.552632,0,0,4.210526315384655e-07
2023-10-25,73,35,0.4794520547945205,73,35,0.479452,0,0,-5.4794520532031044e-08
2023-10-26,67,36,0.5373134328358209,67,36,0.537313,0,0,-4.328358208516292e-07
2023-10-27,70,40,0.5714285714285714,70,40,0.571429,0,0,4.285714285678921e-07
2023-10-28,61,31,0.5081967213114754,61,31,0.508197,0,0,2.7868852459089766e-07
2023-10-29,28,10,0.3571428571428571,28,10,0.357143,0,0,1.4285714289297147e-07
2023-10-30,67,34,0.5074626865671642,67,34,0.507463,0,0,3.134328357967675e-07
2023-10-31,72,41,0.5694444444444444,72,41,0.569444,0,0,-4.4444444446956055e-07
2023-11-01,57,34,0.5964912280701754,57,34,0.596491,0,0,-2.2807017541204289e-07
2023-11-02,68,36,0.5294117647058824,68,36,0.529412,0,0,2.352941176342327e-07
2023-11-03,42,15,0.3571428571428571,41,15,0.365854,-1,0,0.008711142857142917
2023-11-04,58,31,0.5344827586206896,58,31,0.534483,0,0,2.413793104283357e-07
2023-11-05,26,11,0.4230769230769231,26,11,0.423077,0,0,7.692307690820854e-08
2023-11-06,60,33,0.55,60,33,0.55,0,0,0.0
2023-11-07,69,42,0.6086956521739131,69,42,0.608696,0,0,3.478260869327343e-07
2023-11-08,64,36,0.5625,64,36,0.5625,0,0,0.0
2023-11-09,64,36,0.5625,64,36,0.5625,0,0,0.0
2023-11-10,59,41,0.6949152542372882,59,41,0.694915,0,0,-2.542372882219368e-07
2023-11-11,51,31,0.6078431372549019,51,31,0.607843,0,0,-1.372549018885394e-07
2023-11-13,60,34,0.5666666666666667,60,34,0.566667,0,0,3.33333333379926e-07
2023-11-14,72,43,0.5972222222222222,72,43,0.597222,0,0,-2.2222222217926912e-07
2023-11-15,70,37,0.5285714285714286,70,37,0.528571,0,0,-4.285714285678921e-07
2023-11-16,62,35,0.5645161290322581,62,35,0.564516,0,0,-1.2903225810045882e-07
2023-11-17,68,39,0.5735294117647058,68,39,0.573529,0,0,-4.117647058876628e-07
2023-11-18,57,31,0.543859649122807,57,31,0.54386,0,0,3.5087719296722497e-07
2023-11-19,32,10,0.3125,32,10,0.3125,0,0,0.0
2023-11-20,59,33,0.559322033898305,59,33,0.559322,0,0,-3.389830505184932e-08
2023-11-21,71,40,0.5633802816901409,71,40,0.56338,0,0,-2.816901408797534e-07
2023-11-22,69,35,0.5072463768115942,69,35,0.507246,0,0,-3.7681159426039557e-07
2023-11-23,49,16,0.3265306122448979,49,16,0.326531,0,0,3.877551021380654e-07
2023-11-24,70,39,0.5571428571428572,70,39,0.557143,0,0,1.4285714289297147e-07
2023-11-25,67,31,0.4626865671641791,67,31,0.462687,0,0,4.3283582090714035e-07
2023-11-26,30,11,0.3666666666666666,30,11,0.366667,0,0,3.3333333343543714e-07
2023-11-27,57,33,0.5789473684210527,57,33,0.578947,0,0,-3.6842105266554626e-07
2023-11-28,75,40,0.5333333333333333,75,40,0.533333,0,0,-3.33333333379926e-07
2023-11-29,68,35,0.5147058823529411,68,35,0.514706,0,0,1.176470588726275e-07
2023-11-30,70,35,0.5,70,35,0.5,0,0,0.0
2023-12-01,66,40,0.6060606060606061,66,40,0.606061,0,0,3.939393938834357e-07
2023-12-02,57,31,0.543859649122807,57,31,0.54386,0,0,3.5087719296722497e-07
2023-12-03,26,10,0.3846153846153846,26,10,0.384615,0,0,-3.8461538459655387e-07
2023-12-04,61,34,0.5573770491803278,61,34,0.557377,0,0,-4.9180327810205426e-08
2023-12-05,72,42,0.5833333333333334,72,42,0.583333,0,0,-3.33333333379926e-07
2023-12-06,62,35,0.5645161290322581,62,35,0.564516,0,0,-1.2903225810045882e-07
2023-12-07,70,36,0.5142857142857142,70,36,0.514286,0,0,2.8571428578594293e-07
2023-12-08,69,40,0.5797101449275363,69,40,0.57971,0,0,-1.4492753630523936e-07
2023-12-09,60,31,0.5166666666666667,60,31,0.516667,0,0,3.333333332689037e-07
2023-12-10,28,10,0.3571428571428571,28,10,0.357143,0,0,1.4285714289297147e-07
2023-12-11,55,33,0.6,55,33,0.6,0,0,0.0
2023-12-12,74,42,0.5675675675675675,74,42,0.567568,0,0,4.324324324178619e-07
2023-12-13,74,35,0.4729729729729729,74,35,0.472973,0,0,2.7027027060810838e-08
2023-12-14,62,35,0.5645161290322581,62,35,0.564516,0,0,-1.2903225810045882e-07
2023-12-15,68,41,0.6029411764705882,68,41,0.602941,0,0,-1.764705882534301e-07
2023-12-16,61,31,0.5081967213114754,61,31,0.508197,0,0,2.7868852459089766e-07
2023-12-17,25,9,0.36,25,9,0.36,0,0,0.0
2023-12-18,65,34,0.5230769230769231,65,34,0.523077,0,0,7.692307690820854e-08
2023-12-19,70,42,0.6,70,42,0.6,0,0,0.0
2023-12-20,73,36,0.4931506849315068,73,36,0.493151,0,0,3.150684931840786e-07
2023-12-21,81,35,0.4320987654320987,81,35,0.432099,0,0,2.3456790132492245e-07
2023-12-22,71,40,0.5633802816901409,71,40,0.56338,0,0,-2.816901408797534e-07
2023-12-23,59,31,0.5254237288135594,59,31,0.525424,0,0,2.7118644063683917e-07
2023-12-24,32,11,0.34375,32,11,0.34375,0,0,0.0
2023-12-25,74,36,0.4864864864864865,74,36,0.486486,0,0,-4.864864865394836e-07
2023-12-26,94,45,0.4787234042553192,94,45,0.478723,0,0,-4.0425531916410407e-07
2023-12-27,90,37,0.4111111111111111,90,37,0.411111,0,0,-1.1111111108963456e-07
2023-12-28,83,38,0.4578313253012048,83,38,0.457831,0,0,-3.2530120480656066e-07
2023-12-29,73,40,0.547945205479452,73,40,0.547945,0,0,-2.054794520089942e-07
2024-01-05,50,40,0.8,50,40,0.8,0,0,0.0
2024-01-06,48,31,0.6458333333333334,48,31,0.645833,0,0,-3.33333333379926e-07
2024-01-07,21,10,0.4761904761904761,21,10,0.47619,0,0,-4.76190476106364e-07
2024-01-08,37,16,0.4324324324324324,37,16,0.432432,0,0,-4.324324324178619e-07
2024-01-09,65,44,0.676923076923077,65,44,0.676923,0,0,-7.692307690820854e-08
2024-01-10,61,37,0.6065573770491803,61,37,0.606557,0,0,-3.770491803223308e-07
