date,reserve_count,reserve_sum,fixed_ratio
2023-06-08,62.0,89.0,0.5806451612903226
2023-06-09,78.0,104.0,0.5128205128205128
2023-06-10,51.0,74.0,0.6078431372549019
2023-06-12,63.0,82.0,0.5396825396825397
2023-06-13,64.0,88.0,0.625
2023-06-14,60.0,96.0,0.5833333333333334
2023-06-15,58.0,94.0,0.6206896551724138
2023-06-16,67.0,91.0,0.6119402985074627
2023-06-17,49.0,66.0,0.6326530612244898
2023-06-18,23.0,35.0,0.43478260869565216
2023-06-19,60.0,79.0,0.6
2023-06-20,71.0,97.0,0.5915492957746479
2023-06-21,71.0,92.0,0.5492957746478874
2023-06-22,62.0,78.0,0.5645161290322581
2023-06-23,61.0,84.0,0.6557377049180327
2023-06-24,52.0,87.0,0.5961538461538461
2023-06-25,20.0,49.0,0.55
2023-06-26,58.0,77.0,0.6379310344827587
2023-06-27,71.0,99.0,0.5774647887323944
2023-06-28,63.0,78.0,0.5555555555555556
2023-06-29,62.0,78.0,0.5806451612903226
2023-06-30,72.0,94.0,0.5555555555555556
2023-07-01,57.0,78.0,0.5263157894736842
2023-07-02,19.0,32.0,0.5263157894736842
2023-07-03,57.0,73.0,0.5964912280701754
2023-07-04,67.0,90.0,0.6268656716417911
2023-07-05,64.0,92.0,0.5625
2023-07-06,71.0,100.0,0.5070422535211268
2023-07-07,68.0,92.0,0.5882352941176471
2023-07-08,59.0,82.0,0.5254237288135594
2023-07-10,58.0,85.0,0.5862068965517241
2023-07-11,70.0,97.0,0.5857142857142857
2023-07-12,64.0,99.0,0.546875
2023-07-13,66.0,101.0,0.5454545454545454
2023-07-14,64.0,95.0,0.625
2023-07-15,57.0,85.0,0.5263157894736842
2023-07-16,24.0,47.0,0.5833333333333334
2023-07-17,31.0,66.0,0.5161290322580645
2023-07-18,62.0,87.0,0.6935483870967742
2023-07-19,68.0,101.0,0.5588235294117647
2023-07-20,73.0,101.0,0.4931506849315068
2023-07-21,74.0,109.0,0.5405405405405406
2023-07-22,52.0,82.0,0.5961538461538461
2023-07-23,25.0,49.0,0.56
2023-07-24,63.0,105.0,0.5396825396825397
2023-07-25,75.0,114.0,0.5466666666666666
2023-07-26,69.0,109.0,0.5072463768115942
2023-07-27,67.0,115.0,0.5373134328358209
2023-07-28,68.0,102.0,0.5882352941176471
2023-07-29,48.0,84.0,0.6666666666666666
2023-07-30,27.0,40.0,0.48148148148148145
2023-07-31,57.0,88.0,0.5964912280701754
2023-08-01,69.0,97.0,0.6231884057971014
2023-08-02,57.0,87.0,0.631578947368421
2023-08-03,70.0,95.0,0.5142857142857142
2023-08-04,71.0,93.0,0.6056338028169014
2023-08-05,61.0,89.0,0.5245901639344263
2023-08-06,20.0,29.0,0.5
2023-08-07,57.0,88.0,0.6140350877192983
2023-08-08,66.0,92.0,0.6212121212121212
2023-08-09,73.0,98.0,0.4931506849315068
2023-08-10,76.0,97.0,0.5
2023-08-11,44.0,84.0,0.36363636363636365
2023-08-12,64.0,103.0,0.46875
2023-08-16,62.0,84.0,0.5806451612903226
2023-08-17,65.0,98.0,0.5846153846153846
2023-08-18,69.0,114.0,0.6086956521739131
2023-08-19,49.0,75.0,0.6530612244897959
2023-08-20,20.0,31.0,0.5
2023-08-21,59.0,94.0,0.6271186440677966
2023-08-22,68.0,97.0,0.6323529411764706
2023-08-23,70.0,106.0,0.5142857142857142
2023-08-24,60.0,91.0,0.6333333333333333
2023-08-25,71.0,109.0,0.5774647887323944
2023-08-26,50.0,73.0,0.64
